Part Name,OpenBook Enclosure final
Working BOM,"as of April 6, 2025 at 8:37:37 PM UTC"
Exported by,alexandru.mirea1612@stud.acs.upb.ro
Time of Export,"8:37 PM Apr 6, 2025"

Level,Part Number,Part Name,External Component,Milestone,Description,Item Number,State,Revision,Lifecycle,Quantity,Material Name,Change Order
1,OpenBook Enclosure final,OpenBook Enclosure final,,,,,Working,,,1,Steel
1.1,E-book_Reader,E-book_Reader,External,,,,Working,,,1,Steel
1.1.1,16-soldermask,16-soldermask,,,,,Working,,,1,Steel
1.1.2,Packages,Packages,,,,,Working,,,1,Steel
1.1.2.1,EAGLE-LTSPICE_C0402,EAGLE-LTSPICE_C0402,,,,,Working,,,25,Discrete Component
1.1.2.2,TP20R,TP20R,,,,,Working,,,17,Discrete Component
1.1.2.3,ESP32_WROVER_EAGLE-LTSPICE_R0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,,,,,Working,,,23,Discrete Component
1.1.2.4,MYBUTTON,MYBUTTON,,,,,Working,,,1,Discrete Component
1.1.2.4.1,EVQPU-JA-02K v1,EVQPU-JA-02K v1,,,,,Working,,,1,Discrete Component
1.1.2.5,JST04_1MM_RA,JST04_1MM_RA,,,,,Working,,,1,Discrete Component
1.1.2.6,SOD3716X135N (1),SOD3716X135N (1),,,,,Working,,,2,Discrete Component
1.1.2.7,SOT95P280X125-5N,SOT95P280X125-5N,,,,,Working,,,1,Discrete Component
1.1.2.7.1,BD5229G-TR v1,BD5229G-TR v1,,,,,Working,,,1,Discrete Component
1.1.2.7.1.1,PinsArrayL (5),PinsArrayL (5),,,,,Working,,,1,Discrete Component
1.1.2.7.1.2,Body (5),Body (5),,,,,Working,,,1,Discrete Component
1.1.2.7.1.3,PinsArrayR (3),PinsArrayR (3),,,,,Working,,,1,Discrete Component
1.1.2.8,DIOC1608X36N,DIOC1608X36N,,,,,Working,,,5,Discrete Component
1.1.2.9,ADAFRUIT_CHIP-LED0603,ADAFRUIT_CHIP-LED0603,,,,,Working,,,1,Discrete Component
1.1.2.10,FH34SRJ24S05SH99,FH34SRJ24S05SH99,,,,,Working,,,1,Discrete Component
1.1.2.10.1,XC6220A331MR-G v1,XC6220A331MR-G v1,,,,,Working,,,1,Discrete Component
1.1.2.10.1.1,PinsArrayL (2),PinsArrayL (2),,,,,Working,,,1,Discrete Component
1.1.2.10.1.2,PinsArrayR (1),PinsArrayR (1),,,,,Working,,,1,Discrete Component
1.1.2.10.1.3,Body (2),Body (2),,,,,Working,,,1,Discrete Component
1.1.2.11,SOIC127P1032X265-16N,SOIC127P1032X265-16N,,,,,Working,,,1,Discrete Component
1.1.2.11.1,DS3231SN# v1,DS3231SN# v1,,,,,Working,,,1,Discrete Component
1.1.2.12,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,,,,,Working,,,1,Discrete Component
1.1.2.12.1,SD0805S020S1R0 v1,SD0805S020S1R0 v1,,,,,Working,,,1,Discrete Component
1.1.2.13,SOT95P280X120-5N,SOT95P280X120-5N,,,,,Working,,,1,Discrete Component
1.1.2.13.1,XC6220A331MR-G v1 (1),XC6220A331MR-G v1 (1),,,,,Working,,,1,Discrete Component
1.1.2.13.1.1,PinsArrayL (4),PinsArrayL (4),,,,,Working,,,1,Discrete Component
1.1.2.13.1.2,Body (4),Body (4),,,,,Working,,,1,Discrete Component
1.1.2.13.1.3,PinsArrayR (2),PinsArrayR (2),,,,,Working,,,1,Discrete Component
1.1.2.14,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,,,,,Working,,,1,Discrete Component
1.1.2.14.1,MCP73831T-2ATI_OT v1,MCP73831T-2ATI_OT v1,,,,,Working,,,1,Discrete Component
1.1.2.14.1.1,PinsArrayR,PinsArrayR,,,,,Working,,,1,Discrete Component
1.1.2.14.1.2,PinsArrayL (1),PinsArrayL (1),,,,,Working,,,1,Discrete Component
1.1.2.14.1.3,Body (1),Body (1),,,,,Working,,,1,Discrete Component
1.1.2.15,DIOC1608X36N (1),DIOC1608X36N (1),,,,,Working,,,1,Discrete Component
1.1.2.15.1,PGB1010603MR--3DModel-STEP-56544 v1,PGB1010603MR--3DModel-STEP-56544 v1,,,,,Working,,,1,Discrete Component
1.1.2.16,MYBUTTON (1),MYBUTTON (1),,,,,Working,,,2,Discrete Component
1.1.2.17,XCVR_ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,,,,,Working,,,1,Discrete Component
1.1.2.17.1,ESP32-C6-WROOM-1-N8--3DModel-STEP-56544 v1,ESP32-C6-WROOM-1-N8--3DModel-STEP-56544 v1,,,,,Working,,,1,Discrete Component
1.1.2.18,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0 (1),ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0 (1),,,,,Working,,,1,Discrete Component
1.1.2.19,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,,,,,Working,,,1,Discrete Component
1.1.2.19.1,DMG2305UX-7 v1,DMG2305UX-7 v1,,,,,Working,,,1,Discrete Component
1.1.2.19.1.1,Body,Body,,,,,Working,,,1,Discrete Component
1.1.2.19.1.2,FilletPinR,FilletPinR,,,,,Working,,,1,Discrete Component
1.1.2.19.1.3,PinsArrayL,PinsArrayL,,,,,Working,,,1,Discrete Component
1.1.2.20,ESP32_WROVER_EAGLE-LTSPICE_R0402 (1),ESP32_WROVER_EAGLE-LTSPICE_R0402 (1),,,,,Working,,,1,Discrete Component
1.1.2.20.1,TFCR0402-16W-C-15R0BT v1,TFCR0402-16W-C-15R0BT v1,,,,,Working,,,1,Discrete Component
1.1.2.21,EAGLE-LTSPICE_C0402 (1),EAGLE-LTSPICE_C0402 (1),,,,,Working,,,1,Discrete Component
1.1.2.21.1,CC0402MRX5R5BB106 v1,CC0402MRX5R5BB106 v1,,,,,Working,,,1,Discrete Component
1.1.2.21.1.1,body2,body2,,,,,Working,,,1,Discrete Component
1.1.2.21.1.2,Fillet1,Fillet1,,,,,Working,,,1,Discrete Component
1.1.2.21.1.3,Fillet2,Fillet2,,,,,Working,,,1,Discrete Component
1.1.2.22,SOT65P210X110-3N,SOT65P210X110-3N,,,,,Working,,,1,Discrete Component
1.1.2.22.1,Si1308EDL-T1-GE3 v1,Si1308EDL-T1-GE3 v1,,,,,Working,,,1,Discrete Component
1.1.2.22.1.1,FilletPinR (1),FilletPinR (1),,,,,Working,,,1,Discrete Component
1.1.2.22.1.2,PinsArrayL (3),PinsArrayL (3),,,,,Working,,,1,Discrete Component
1.1.2.22.1.3,Body (3),Body (3),,,,,Working,,,1,Discrete Component
1.1.2.23,ESP32_WROVER_BME680_PSON80P300X300X100-8N,ESP32_WROVER_BME680_PSON80P300X300X100-8N,,,,,Working,,,1,Discrete Component
1.1.2.23.1,BME680--3DModel-STEP-510211 v1,BME680--3DModel-STEP-510211 v1,,,,,Working,,,1,Discrete Component
1.1.2.24,SOD3716X135N,SOD3716X135N,,,,,Working,,,1,Discrete Component
1.1.2.24.1,SD0805S020S1R0 v1 (1),SD0805S020S1R0 v1 (1),,,,,Working,,,1,Discrete Component
1.1.2.25,112ATAARR03ATTEND,112ATAARR03ATTEND,,,,,Working,,,1,Discrete Component
